Embalse;Agua embalsada (01-04-2019) (HM3);Porcentaje Agua embalsada (01-04-2019) ;Variacion semana Anterior (HM3);Porcentaje Variacion semana Anterior ;Capacidad (HM3);Agua embalsada Misma Semana (2018) (HM3);Porcentaje Agua embalsada Misma Semana (2018) ;Agua embalsada Misma Semana (Med. 10 Años) (HM3);Porcentaje Agua embalsada Misma Semana (Med. 10 Años) ;Cuenca;Provincia;Municipio Presa;Rio;Tipo de Presa;Año de construccion (Final);Superficie;Abastecimiento;Riego;Electricidad;Industrial;Pesca;Navegación;Baño;Pic-nic;Restaurantes;
CALA;17;28.81;0;0.00;59;47;79.66;39;66.78;Guadalquivir;Sevilla;RONQUILLO, EL;RIVERA DE CALA;Gravedad;1927;437.00 ;1;1;1;0;1;0;1;0;1;
CANALES;57;81.43;0;0.00;70;40;57.14;44;63.14;Guadalquivir;Granada;GÜEJAR SIERRA;GENIL;Materiales sueltos núcleo arcilla;1988;156.00 ;1;1;1;0;1;0;0;1;1;
COLOMERA;27;67.50;0;0.00;40;22;55.00;30;76.75;Guadalquivir;Granada;COLOMERA;COLOMERA;Materiales sueltos núcleo arcilla;1990;249.30 ;1;1;0;0;1;1;1;1;1;
CUBILLAS;13;68.42;0;0.00;19;18;94.74;18;96.32;Guadalquivir;Granada;ALBOLOTE, CHAPARRAL;CUBILLAS;Materiales sueltos homogenea;1956;194.00 ;0;1;1;1;1;1;1;1;1;
EL AGRIO;15;75.00;0;0.00;20;18;90.00;17;87.00;Guadalquivir;Sevilla;AZNALCOLLAR;AGRIO;Materiales sueltos P asfáltica;1977;278.00 ;0;1;0;0;1;0;0;0;0;
EL PINTADO;175;82.16;0;0.00;213;183;85.92;175;82.44;Guadalquivir;Sevilla;CAZALLA DE LA SIERRA;VIAR;Gravedad;1948;1,050.00 ;1;1;1;0;0;0;1;1;1;
EL PORTILLO;31;93.94;0;0.00;33;30;90.91;28;86.67;Guadalquivir;Granada;CASTRIL;CASTRIL;Materiales sueltos núcleo arcilla;1999;143.00 ;1;0;1;0;1;1;0;0;0;
FRANCISCO ABELLAN;33;56.90;0;0.00;58;30;51.72;37;64.66;Guadalquivir;Granada;PEZA, LA, GRAENA, CORTES;FARDES;Materiales sueltos núcleo arcilla;1991;231.00 ;0;1;0;0;1;1;1;0;1;
GERGAL;32;91.43;0;0.00;35;35;100.00;31;89.14;Guadalquivir;Sevilla;GUILLENA;HUELVA;Arco Gravedad;1979;252.00 ;1;0;0;0;1;0;0;0;0;
GIRIBAILE;199;41.89;-2;-0.42;475;177;37.26;324;68.27;Guadalquivir;Jaen;IBROS;GUADALIMAR;Materiales sueltos núcleo arcilla;1996;2,493.00 ;0;1;1;0;1;1;1;1;1;
GUADALEN;60;35.71;-1;-0.60;168;155;92.26;132;78.81;Guadalquivir;Jaen;ARQUILLOS, VILCHES;GUADALEN;Gravedad;1954;1,351.00 ;1;1;1;0;1;1;0;1;0;
GUADALMELLATO;107;72.79;-1;-0.68;147;140;95.24;106;72.24;Guadalquivir;Cordoba;ADAMUZ, OBEJO/CORDOBA;GUADALMELLATO;Gravedad;1928;775.00 ;1;1;0;0;1;1;0;0;0;
GUADALMENA;157;45.24;-1;-0.29;347;176;50.72;273;78.67;Guadalquivir;Jaen;Chiclana de Segura, Segura de la Sierra y Orcera;GUADALMENA;Gravedad;1969;1,250.00 ;1;1;0;0;1;0;1;1;0;
HUESNA;92;68.15;0;0.00;135;113;83.70;114;84.67;Guadalquivir;Sevilla;CONSTANTINA, EL PEDROSO;HUESNA;Materiales sueltos P asfáltica;1990;738.00 ;1;1;1;0;1;0;0;1;0;
IZNAJAR;596;60.75;0;0.00;981;465;47.40;738;75.30;Guadalquivir;Cordoba;RUTE, CUEVAS SAN MARCOS;GENIL;Gravedad;1969;2,521.72 ;1;1;1;1;1;0;1;1;1;
JANDULA;158;49.07;-2;-0.62;322;194;60.25;233;72.61;Guadalquivir;Jaen;ANDUJAR;JANDULA;Gravedad;1932;1,350.00 ;0;0;1;0;0;1;1;1;0;
JOSE TORAN;55;48.67;0;0.00;113;67;59.29;93;82.83;Guadalquivir;Sevilla;LORA DEL RIO;GUADALBARCAR;Bóveda;1991;715.50 ;1;1;0;0;1;1;1;1;1;
