Embalse;Agua embalsada (01-04-2019) (HM3);Porcentaje Agua embalsada (01-04-2019) ;Variacion semana Anterior (HM3);Porcentaje Variacion semana Anterior ;Capacidad (HM3);Agua embalsada Misma Semana (2018) (HM3);Porcentaje Agua embalsada Misma Semana (2018) ;Agua embalsada Misma Semana (Med. 10 Años) (HM3);Porcentaje Agua embalsada Misma Semana (Med. 10 Años) ;Cuenca;Provincia;Municipio Presa;Rio;Tipo de Presa;Año de construccion (Final);Superficie;Abastecimiento;Riego;Electricidad;Industrial;Pesca;Navegación;Baño;Pic-nic;Restaurantes
LA LOTETA;40;38,46;0;0;104;10;9,62;28;27,79;Ebro;Zaragoza;GALLUR;ARROYO CARRIZAL;Materiales sueltos núcleo arcilla;1999;1.087,00;1;1;0;0;0;1;1;0;1
LA PEÑA;7;46,67;-1;-6,67;15;14;93,33;12;82;Ebro;Huesca;PEÑAS DE RIGLOS, LAS;GALLEGO;Arco Gravedad;1913;321;1;1;0;0;1;1;0;0;0
LA SOTONERA;152;80,42;-3;-1,59;189;181;95,77;168;89,1;Ebro;Huesca;ALCALA DE GURREA;SOTON;Materiales sueltos homogenea;1963;1.840,00;1;1;1;0;0;1;1;0;1
LA TRANQUERA;71;86,59;2;2,44;82;32;39,02;62;75,85;Ebro;Zaragoza;CARENAS;PIEDRA;Gravedad;1959;536;1;1;0;0;1;1;1;1;1
LANUZA;8;47,06;-2;-11,76;17;10;58,82;8;51,18;Ebro;Huesca;SALLENT DE GALLEGO, LANUZA;GALLEGO;Bóveda;1978;114;0;0;0;0;1;0;0;0;0
LAS TORCAS;6;85,71;0;0;7;1;14,29;4;61,43;Ebro;Zaragoza;TOSOS;HUERVA;Gravedad;1946;77;1;1;0;0;1;1;1;0;0
LAVERNE;36;94,74;0;0;38;30;78,95;3;7,89;Ebro;Zaragoza;EJEA DE LOS CABALLEROS;BARRANCO VITALE;Materiales sueltos núcleo arcilla;2010;220,26;1;1;0;0;0;0;0;0;0
LLAUSET;10;58,82;0;0;17;9;52,94;10;58,82;Ebro;Huesca;MONTANUY;LLAUSET;Bóveda;1983;45;0;0;1;0;1;0;0;0;0
MAIDEVERA;12;60;0;0;20;7;35;14;73,5;Ebro;Zaragoza;ARANDA DE MONCAYO;ARANDA;Materiales sueltos núcleo arcilla;1983;134;1;1;0;0;1;1;1;1;1
MANSILLA;62;91,18;0;0;68;61;89,71;54;80,29;Ebro;La Rioja;MANSILLA DE LA SIERRA, VILLAVELAYO;NAJERILLA;Gravedad;1960;234,5;1;1;1;0;1;1;1;1;0
MEDIANO;275;63,22;-15;-3,45;435;307;70,57;345;79,4;Ebro;Huesca;FUEVA, LA/MEDIANO;CINCA;Gravedad;1959;1.722,00;1;1;1;0;1;1;1;0;0
MEQUINENZA;970;63,23;-44;-2,87;1534;1317;85,85;1338;87,25;Ebro;Zaragoza;MEQUINENZA;EBRO;Gravedad;1964;7.540,00;0;1;1;0;1;1;0;1;0
MONEVA;3;37,5;0;0;8;0;0;1;17,5;Ebro;Zaragoza;SAMPER DEL SALZ, MONEVA;AGUASVIVAS;Gravedad;1929;75;0;1;0;0;0;0;0;0;0
MONTEAGUDO;5;50;0;0;10;5;50;4;44;Ebro;Soria;MONTEAGUDO DE LAS VICARIAS;DERIVACIÓN DEL RÍO NAJIMA;Materiales sueltos homogenea;1982;123;0;1;1;0;1;0;1;0;0
OLIANA;48;57,14;0;0;84;53;63,1;57;68,93;Ebro;Lleida;OLIANA Y PERAMOLA;SEGRE;Gravedad;1959;443;1;1;1;1;1;1;0;1;1
PAJARES;20;57,14;0;0;35;30;85,71;29;82,86;Ebro;La Rioja;LUMBRERAS;PIQUERAS;Materiales sueltos homogenea;1994;162;1;0;0;0;0;0;0;0;0
PENA;12;66,67;0;0;18;10;55,56;13;73,33;Ebro;Teruel;VALDERROBRES;PENA;Gravedad;1930;149;1;1;0;0;1;1;1;1;0
RIALB;285;70,54;-13;-3,22;404;300;74,26;321;79,63;Ebro;Lleida;BARONIA RIALB, TIURANA;SEGRE;Gravedad;2000;1.505,00;1;1;1;1;1;1;1;0;0
RIBARROJA;205;97,62;8;3,81;210;203;96,67;203;97,1;Ebro;Tarragona;RIBA-ROJA D'EBRE;EBRO;Gravedad;1969;2.029,00;1;1;1;0;1;1;1;1;1
SALLENTE;1;16,67;-2;-33,33;6;1;16,67;1;21,67;Ebro;Lleida;TORRE DE CABDELLA, LA;FLAMISELL;Materiales sueltos P asfáltica;1985;29;0;1;0;0;0;0;0;0;0
SAN BARTOLOME;3;50;0;0;6;2;33,33;1;18,33;Ebro;Zaragoza;EJEA DE LOS CABALLEROS;ARBA DE LUESTE;Materiales sueltos homogenea;1908;100;0;1;0;0;1;1;0;1;0
SAN LORENZO MONGAY;9;90;0;0;10;9;90;0;9;Ebro;Lleida;CAMARASA;SEGRE;Gravedad y Materiales sueltos homogenea;1930;131;0;1;1;0;1;0;0;1;1
SANTA ANA;164;69,2;-1;-0,42;237;174;73,42;164;69,28;Ebro;Huesca;CASTILLONROY;NOGUERA RIBAGORZANA;Gravedad;1961;792;1;1;1;0;0;1;1;1;0
SANTA MARIA BELSUE;1;7,14;0;0;14;6;42,86;4;30;Ebro;Huesca;NUENO;FLUMEN;Gravedad;1931;83;0;0;0;0;0;1;0;0;0
SANTOLEA;6;13,95;0;0;43;20;46,51;38;90,47;Ebro;Teruel;CASTELLOTE;GUADALOPE;Gravedad;1932;380;1;1;1;0;1;1;1;1;0
SISTEMA AGUAS LIMPIAS;1;5,56;0;0;18;1;5,56;0;3,89;Ebro;Huesca;;AGUAS LIMPIAS;;0;0;0;0;0;0;0;0;0;0;0
SISTEMA ALTO CALDARÉS;2;11,11;0;0;18;2;11,11;3;21,11;Ebro;Huesca;;CALDARES;;0;0;0;0;0;0;0;0;0;0;0
SISTEMA CAPDELLA;30;60;0;0;50;30;60;28;56,8;Ebro;Lleida;Torre de capdella ( Pallars Jussa;FLAMISELL;;0;0;1;0;1;0;0;0;0;0;0
SISTEMA ESCARRA;2;40;0;0;5;1;20;1;34;Ebro;Huesca;ESCARRILLA;ESCARRA;Materiales sueltos núcleo arcilla;1957;38;0;0;0;0;0;0;0;0;0
SISTEMA LAGOS ESPOT;9;90;0;0;10;8;80;8;86;Ebro;Lleida;;ESPOT;;0;0;0;0;0;0;0;0;0;0;0
SISTEMA VALLE DE ARAN;12;54,55;0;0;22;12;54,55;12;56,36;Ebro;Lleida;Barrados;VALARTIES;;2000;0;0;0;0;0;0;0;0;0;0
SOBRON;19;95;1;5;20;19;95;18;94;Ebro;Burgos;LANTARON Y BOZOO;EBRO;Gravedad;1961;280;0;0;1;0;1;0;0;0;0
